Xa       Ya       Xb       Yb      Type     Flux     Speed
 2.1004   48.9581  2.1004   48.9581    10       193      225
 2.09898  48.9667  2.09898  48.9667    10       279      64
 2.11424  48.9241  2.11424  48.9241    10       155      17
 2.13505  48.9394  2.13505  48.9394    10       355      28
 2.14493  48.947   2.14493  48.947     10      1067      19
 2.14383  48.9523  2.14383  48.9523    10       268       8
 2.15367  48.9484  2.15367  48.9484    10       207      12
  2.156   48.9506   2.156   48.9506    10       475       9
 2.16172  48.9396  2.16172  48.9396    10      1200      35
 2.16443  48.9326  2.16443  48.9326    10      1074      19
 2.17533  48.944   2.17533  48.944     10       755      44
 2.17399  48.9406  2.17399  48.9406    10      1137      39
 2.19768  48.9474  2.19768  48.9474    10      1392      25
 2.19943  48.9691  2.19943  48.9691    10       307      30
 2.21075  48.9693  2.21075  48.9693    10       256      34
 2.20729  48.9748  2.20729  48.9748    10       287      34
 2.18994  48.9728  2.18994  48.9728    10       40       29
 2.18159  48.9803  2.18159  48.9803    10       98       30
 2.18499  48.9847  2.18499  48.9847    10       75       27
 2.19213  48.988   2.19213  48.988     10       184      33
 2.20208  48.9981  2.20208  48.9981    10       124      27
 2.19905  48.9955  2.19905  48.9955    10       273      23
 2.19948  49.0074  2.19948  49.0074    10       118      87
 2.21701  48.9897  2.21701  48.9897    10       212      49
 2.22278  48.9997  2.22278  48.9997    10       421      35
 2.23422  48.9872  2.23422  48.9872    10       133      91
 2.23748  48.9886  2.23748  48.9886    10       429      42
 2.23604  48.9964  2.23604  48.9964    10       348      82
 2.23738  48.9998  2.23738  48.9998    10       69       131
 2.23687  49.0037  2.23687  49.0037    10       204      50
 2.25593  48.9763  2.25593  48.9763    10       491      41
 2.26626  48.9714  2.26626  48.9714    10       278      28
 2.26692  48.9712  2.26692  48.9712    10       155      24
 2.23912  48.9701  2.23912  48.9701    10       101      31
 2.24439  48.9833  2.24439  48.9833    10       293      33
 2.25003  48.9911  2.25003  48.9911    10       480      21
 2.26177  48.9995  2.26177  48.9995    10       310      34
 2.26779  48.9812  2.26779  48.9812    10       328      51
 2.25415  48.9831  2.25415  48.9831    10       166      63
 2.27214  48.9946  2.27214  48.9946    10       256      43
 2.28482  48.996   2.28482  48.996     10       193      43
 2.28239  48.9995  2.28239  48.9995    10       223      35
 2.28491  48.9838  2.28491  48.9838    10       315      53
 2.19198  49.0143  2.19198  49.0143    10       445      36
 2.19774  49.0123  2.19774  49.0123    10       198      65
 2.16676  49.0189  2.16676  49.0189    10       154      83
 2.1576   49.0219  2.1576   49.0219    10       116      36
 2.15339  49.0268  2.15339  49.0268    10       113      28
 2.14951  49.0261  2.14951  49.0261    10       212      64
 2.15194  49.0027  2.15194  49.0027    10       512      68
 2.16867  49.0088  2.16867  49.0088    10       66       25
 2.16718  48.9933  2.16718  48.9933    10       712      37
 2.18963  49.0006  2.18963  49.0006    10       226      37
 2.13209  49.0088  2.13209  49.0088    10       109      49
 2.13489  49.0138  2.13489  49.0138    10       201      67
 2.03609  48.909   2.03609  48.909     10       308      41
 2.03889  48.9083  2.03889  48.9083    10       303      41
 2.04147  48.9073  2.04147  48.9073    10       454      38
 2.01919  48.9067  2.01919  48.9067    10       45       18
 2.0562   48.9486  2.0562   48.9486    10       85       72
 2.04664  48.941   2.04664  48.941     10       298      101
 2.05175  48.9413  2.05175  48.9413    10       22       88
 2.0421   48.9306  2.0421   48.9306    10       777      63
 2.05362  48.9295  2.05362  48.9295    10      1308      38
 2.03519  48.9255  2.03519  48.9255    10       826      89
 2.03149  48.9224  2.03149  48.9224    10       222      40
 2.03404  48.9389  2.03404  48.9389    10       508      64
 2.04213  48.9534  2.04213  48.9534    10       226      59
 2.02969  48.9423  2.02969  48.9423    10       246      23
 1.99805  48.9345  1.99805  48.9345    10       86       101
 1.9936   48.9396  1.9936   48.9396    10       26       75
 2.00329  48.9303  2.00329  48.9303    10       74       21
 2.06729  48.9615  2.06729  48.9615    10       455      22
 2.06551  48.9645  2.06551  48.9645    10       303      37
 2.06699  48.9637  2.06699  48.9637    10       119      31
 2.07041  48.9668  2.07041  48.9668    10       14       41
 2.08235  48.9838  2.08235  48.9838    10       33       180
 2.09443  48.996   2.09443  48.996     10       329      30
 2.09193  48.9945  2.09193  48.9945    10       155      26
 2.07993  48.9921  2.07993  48.9921    10       47       60
 2.07753  48.9904  2.07753  48.9904    10       129      50
 2.07935  48.9956  2.07935  48.9956    10       56       26
 2.11051  48.9989  2.11051  48.9989    10       197      38
 2.11147  49.0078  2.11147  49.0078    10       246      95
 2.10582  49.0095  2.10582  49.0095    10       415      32
 2.10128  49.0069  2.10128  49.0069    10       240      41
 2.08487  49.0032  2.08487  49.0032    10       178      100
 2.08735  49.0036  2.08735  49.0036    10       176      14
 2.09567  49.0177  2.09567  49.0177    10       91       59
 2.09488  49.021   2.09488  49.021     10       446      54
 2.10668  49.013   2.10668  49.013     10       63       98
 2.10395  49.0135  2.10395  49.0135    10       224      35
 2.10843  49.0251  2.10843  49.0251    10       518      33
 2.1008   49.0287  2.1008   49.0287    10       139      76
 2.05876  49.0442  2.05876  49.0442    10       409      36
 2.05809  49.047   2.05809  49.047     10      1283      22
 2.07609  49.0309  2.07609  49.0309    10       250      55
 2.07912  49.0319  2.07912  49.0319    10       520      31
 2.08566  49.0314  2.08566  49.0314    10       136      62
 2.07214  49.0422  2.07214  49.0422    10       346      87
 2.07454  49.0403  2.07454  49.0403    10       466      109
