Num	xa	ya	xb	yb
169	2.48631	48.8296	2.49324	48.8353
170	2.48169	48.8672	2.48146	48.8664
171	2.48146	48.8664	2.48198	48.8647
172	2.48198	48.8647	2.48262	48.8636
173	2.21224	49.0202	2.21031	49.0234
174	2.21031	49.0234	2.20906	49.0243
175	2.20876	49.0242	2.21069	49.0218
176	2.16464	48.7818	2.16923	48.7813
177	2.16932	48.7815	2.16431	48.7822
178	2.16924	48.7814	2.16433	48.7821
179	2.14886	48.831	2.14787	48.8313
180	2.14895	48.8299	2.14787	48.8313
181	2.1471	48.8326	2.14886	48.831
182	2.1471	48.8326	2.14895	48.8299
183	2.14787	48.8313	2.14909	48.8314
184	2.14909	48.8314	2.15101	48.8315
185	2.15645	48.7836	2.15667	48.7827
186	2.15742	48.7827	2.15645	48.7836
187	2.16107	48.7817	2.16947	48.7813
188	2.16442	48.7817	2.16916	48.7811
189	2.53289	49.0196	2.53629	49.0262
190	2.53654	49.0262	2.53306	49.0196
